persona_id,model,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Male_30-49_Higher,qwen,0,4,4,True,0.152,2026-02-13T22:49:09.290502
CHN_Male_30-49_Higher,qwen,1,5,5,True,0.137,2026-02-13T22:49:09.427745
CHN_Male_30-49_Higher,qwen,2,4,4,True,0.136,2026-02-13T22:49:09.564023
CHN_Male_30-49_Higher,qwen,3,4,4,True,0.136,2026-02-13T22:49:09.700243
CHN_Male_30-49_Higher,qwen,4,5,5,True,0.136,2026-02-13T22:49:09.836671
CHN_Male_30-49_Higher,qwen,5,5,5,True,0.137,2026-02-13T22:49:09.973393
CHN_Male_30-49_Higher,qwen,6,4,4,True,0.137,2026-02-13T22:49:10.109942
CHN_Male_30-49_Higher,qwen,7,5,5,True,0.137,2026-02-13T22:49:10.246759
CHN_Male_30-49_Higher,qwen,8,4,4,True,0.138,2026-02-13T22:49:10.384307
CHN_Male_30-49_Higher,qwen,9,4,4,True,0.137,2026-02-13T22:49:10.521726
SVK_Female_50-64_Medium,qwen,0,7,7,True,0.139,2026-02-13T22:49:10.664760
SVK_Female_50-64_Medium,qwen,1,7,7,True,0.138,2026-02-13T22:49:10.803197
SVK_Female_50-64_Medium,qwen,2,7,7,True,0.139,2026-02-13T22:49:10.941738
SVK_Female_50-64_Medium,qwen,3,7,7,True,0.139,2026-02-13T22:49:11.080259
SVK_Female_50-64_Medium,qwen,4,7,7,True,0.138,2026-02-13T22:49:11.218682
SVK_Female_50-64_Medium,qwen,5,7,7,True,0.138,2026-02-13T22:49:11.356970
SVK_Female_50-64_Medium,qwen,6,7,7,True,0.139,2026-02-13T22:49:11.495552
SVK_Female_50-64_Medium,qwen,7,7,7,True,0.138,2026-02-13T22:49:11.633984
SVK_Female_50-64_Medium,qwen,8,7,7,True,0.138,2026-02-13T22:49:11.772192
SVK_Female_50-64_Medium,qwen,9,7,7,True,0.139,2026-02-13T22:49:11.910752
USA_Male_18-29_Medium,qwen,0,3,3,True,0.139,2026-02-13T22:49:12.052588
USA_Male_18-29_Medium,qwen,1,3,3,True,0.142,2026-02-13T22:49:12.194818
USA_Male_18-29_Medium,qwen,2,4,4,True,0.139,2026-02-13T22:49:12.333498
USA_Male_18-29_Medium,qwen,3,4,4,True,0.138,2026-02-13T22:49:12.471660
USA_Male_18-29_Medium,qwen,4,3,3,True,0.138,2026-02-13T22:49:12.609948
USA_Male_18-29_Medium,qwen,5,3,3,True,0.138,2026-02-13T22:49:12.748457
USA_Male_18-29_Medium,qwen,6,4,4,True,0.138,2026-02-13T22:49:12.886753
USA_Male_18-29_Medium,qwen,7,4,4,True,0.138,2026-02-13T22:49:13.025256
USA_Male_18-29_Medium,qwen,8,3,3,True,0.138,2026-02-13T22:49:13.163641
USA_Male_18-29_Medium,qwen,9,3,3,True,0.138,2026-02-13T22:49:13.301873
